packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count
91,46073,4,10,10,85,12,91,0,0
64,16886,4,8,8,60,12,64,0,0
56,16064,4,7,8,52,12,56,0,0
50,3890,4,5,12,44,8,50,0,0
118,64965,9,8,10,110,12,116,0,0
68,10575,7,10,10,62,16,68,0,0
36,2462,6,6,6,34,8,36,0,0
12,760,3,4,0,10,4,10,2,0
22,1442,4,4,8,18,4,22,0,0
42,3774,4,5,8,38,12,42,0,0
50,3640,3,6,12,44,8,50,0,0
46,3788,4,7,10,42,4,46,0,0
24,2098,3,4,6,22,6,24,0,0
42,2994,4,5,8,38,12,42,0,0
34,2120,4,5,4,32,12,34,0,0
16,2598,4,4,4,14,4,16,0,0
16,2598,2,2,4,14,4,16,0,0
20,2656,5,2,4,16,4,18,0,0
8,524,6,3,2,4,0,6,0,0
28,14904,3,4,4,24,4,26,2,0
24,13746,4,4,4,22,4,24,0,0
24,2604,3,4,8,20,4,24,0,0
18,3348,2,2,4,16,4,18,0,0
2,200,2,2,0,0,0,0,2,0
4,256,2,2,4,2,0,4,0,0
16,1512,2,2,4,14,4,16,0,0
16,3994,2,2,4,14,0,16,0,0
16,3120,2,2,0,16,4,16,0,0
2,200,2,2,0,0,0,0,2,0
10,734,2,2,4,8,0,10,0,0
8,472,2,2,0,8,4,8,0,0
18,1700,5,2,4,14,4,16,0,0
16,1278,2,2,4,14,4,16,0,0
16,3564,2,2,4,14,4,16,0,0
8,894,2,2,4,6,0,8,0,0
16,2360,2,2,0,16,4,16,0,0
26,4390,4,5,8,20,4,24,2,0
20,4198,2,2,4,18,4,20,0,0
4,256,2,2,4,2,0,4,0,0
70,45884,4,3,8,66,4,70,0,0
50,34864,5,5,4,48,8,50,0,0
18,1206,2,2,4,16,4,18,0,0
34,7392,6,4,4,30,8,32,0,0
22,4640,4,4,4,20,4,22,0,0
44,17426,3,4,0,42,4,42,2,0
16,1310,3,4,0,14,4,14,2,0
14,1266,2,2,4,12,0,14,0,0
38,6150,3,4,4,36,0,38,0,0
32,4052,3,4,0,32,4,32,0,0
8,472,2,2,0,8,4,8,0,0
8,616,2,2,4,6,0,8,0,0
40,5332,4,4,8,36,4,40,0,0
44,12700,4,4,0,44,4,44,0,0
18,1332,3,4,4,16,4,18,0,0
18,3606,2,2,4,16,4,18,0,0
4,360,5,2,0,0,0,0,2,0
22,5578,5,2,4,18,4,20,0,0
12,852,4,4,4,10,0,12,0,0
16,1078,2,2,2,16,4,16,0,0
