packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count,avg_packet_size,median_packet_size,max_packet_size,min_packet_size,std_dev_packet_size,rate_of_change_packet_count,rate_of_change_byte_count,start_time
733,155020,11,58,70,370,40,407,317,5,211.48703956343792,92,3126,60,371.14499126178697,0,0,09:00:00.000
3852,696936,26,287,158,1095,68,1182,2654,9,180.92834890965733,110,3126,60,298.19587594744326,3119,541916,09:00:45.000
4028,640252,34,270,82,691,38,734,3280,6,158.95034756703078,110,2950,60,241.7193975405082,176,-56684,09:01:30.000
2273,579111,43,131,62,1157,106,1202,1065,0,254.77826660800704,90,3423,60,518.2424570402269,-1755,-61141,09:02:15.000
2292,896329,38,114,54,1255,25,1294,996,0,391.06849912739966,110,4410,60,707.3592004785044,19,317218,09:03:00.000
1773,1605270,35,45,16,1398,17,1407,366,0,905.3976311336718,160,4410,60,1124.587674936103,-519,708941,09:03:45.000
1194,285006,35,95,36,643,15,662,530,0,238.69849246231155,90,2974,60,378.8797463470867,-579,-1320264,09:04:30.000
5995,4412164,55,413,112,4421,44,4482,1507,0,735.9739783152627,123,5574,60,943.1184708358747,4801,4127158,09:05:15.000
6577,4669700,71,352,124,4769,33,4830,1747,0,710.0045613501596,110,5574,60,954.2879237242146,582,257536,09:06:00.000
6102,4458263,88,209,156,4852,82,4941,1144,12,730.6232382825303,92,23414,60,1156.5659935973524,-475,-211437,09:06:45.000
4482,3154181,96,222,142,3516,106,3591,886,2,703.7440874609549,90,23414,60,1194.8979782279148,-1620,-1304082,09:07:30.000
4186,1432906,103,298,151,2399,113,2474,1699,6,342.3091256569517,90,5814,60,622.9208290712801,-296,-1721275,09:08:15.000
2487,1052693,105,253,94,1580,62,1627,858,0,423.27824688379576,90,7354,60,713.347462399805,-1699,-380213,09:09:00.000
17690,11778630,190,1337,621,13622,252,13931,3753,0,665.8355002826455,112,5894,60,861.5479007362983,15203,10725937,09:09:45.000
29060,17274916,263,2212,1109,22337,679,22999,6059,0,594.4568479008947,95,5894,60,870.1783272968032,11370,5496286,09:10:30.000
5021,909374,214,459,129,3958,207,4039,978,0,181.11412069308903,66,5814,60,426.11213711592586,-24039,-16365542,09:11:15.000
5163,1352461,188,349,178,3941,339,4051,1106,0,261.9525469688166,66,23414,60,845.6125129489133,142,443087,09:12:00.000
7839,5043078,167,729,206,5753,260,5867,1972,0,643.3318025258324,90,5814,60,964.1852793751204,2676,3690617,09:12:45.000
3685,1206660,148,381,94,2243,150,2306,1370,6,327.45183175033924,83,23414,60,874.495918022356,-4154,-3836418,09:13:30.000
14505,10607299,163,699,342,11815,209,11995,2506,0,731.285694588073,92,23414,60,1084.9387124605341,10820,9400639,09:14:15.000
18051,15952455,151,581,250,16054,240,16186,1859,6,883.7435599135782,122,5288,60,1042.443801280915,3546,5345156,09:15:00.000
14025,10861962,151,546,254,12425,179,12561,1464,0,774.4714438502674,97,5814,60,941.7319776753412,-4026,-5090493,09:15:45.000
20800,19115750,136,445,174,19486,181,19581,1219,0,919.0264423076923,151,7354,60,1022.6886972643803,6775,8253788,09:16:30.000
57575,73934262,135,260,117,56858,86,56922,653,0,1284.1382891880157,1514,6325,60,1269.538866196093,36775,54818512,09:17:15.000
105204,136516233,107,316,169,104355,102,104442,762,0,1297.633483517737,1514,5894,60,1261.4865216976834,47629,62581971,09:18:00.000
132501,168046212,147,780,312,130264,110,130420,2081,0,1268.2637263114996,1514,7354,60,1238.4498250313206,0,0,09:18:45.000
189369,232446484,296,2025,1032,183117,484,183668,5697,0,1227.479069963933,1514,5894,60,1241.894203878231,56868,64400272,09:19:30.000
9522,8329973,147,715,240,7804,126,7923,1599,0,874.813379542113,118,5894,60,1115.3416419646367,-179847,-224116511,09:20:15.000
32454,39742880,114,314,101,32021,109,32108,346,0,1224.5911135761385,1514,8814,60,1146.4000319071413,0,0,09:21:00.000
240665,308239906,293,893,424,234809,540,235191,5474,0,1280.7841023829806,1514,8814,60,1248.6957270670537,208211,268497026,09:21:45.000
76870,101072380,177,356,74,76592,148,76684,186,0,1314.848185247821,1514,4434,60,1286.0152921338247,-163795,-207167526,09:22:30.000
186149,244184266,202,432,112,185510,224,185600,549,0,1311.7678096578547,1514,4920,60,1275.1266761414154,0,0,09:23:15.000
126990,167348408,156,247,14,126784,116,126794,196,0,1317.8077643908969,1514,4434,60,1278.2754847537535,-59159,-76835858,09:24:00.000
140714,183099952,154,510,262,139213,163,139377,1335,0,1301.2205750671576,1514,4774,60,1273.280418069571,0,0,09:24:45.000
177965,225140962,253,1132,753,174809,513,175304,2659,0,1265.0856179585874,1514,4789,60,1264.7957760785807,37251,42041010,09:25:30.000
84216,107621305,192,592,254,83075,234,83237,977,0,1277.9199320794148,1514,4434,60,1264.0997097994602,0,0,09:26:15.000
231541,298497016,265,728,262,229849,366,230027,1512,0,1289.1756362803997,1514,8814,60,1258.6371102011026,147325,190875711,09:27:00.000
30727,40305633,87,133,6,30648,28,30651,76,0,1311.733426628047,1514,4434,60,1265.702055571397,-200814,-258191383,09:27:45.000
32091,42620734,90,133,16,32029,52,32044,47,0,1328.121093141379,1514,4434,60,1288.810621573586,0,0,09:28:30.000
241050,312299622,262,872,493,239075,455,239374,1676,0,1295.580261356565,1514,5894,60,1273.82407251188,208959,269678888,09:29:15.000
79877,102750983,135,421,156,79135,120,79213,664,0,1286.365073800969,1514,4434,60,1264.762313941403,-161173,-209548639,09:30:00.000
194109,254051044,182,468,164,193225,224,193325,784,0,1308.8061037870475,1514,5894,60,1271.5994893137597,0,0,09:30:45.000
119541,155636415,148,372,110,118663,157,118744,792,0,1301.9500840715739,1514,5894,60,1266.7649049805966,-74568,-98414629,09:31:30.000
87268,102455332,236,1237,641,82655,443,82999,4267,2,1174.030939175872,1230,5894,60,1235.1523666515172,0,0,09:32:15.000
106697,131338678,264,1009,426,103356,389,103581,3114,0,1230.9500548281583,1514,5894,60,1262.0589060395955,19429,28883346,09:33:00.000
12671,7315781,232,728,365,10828,329,11052,1619,0,577.3641385841686,90,23414,60,917.952916080797,-94026,-124022897,09:33:45.000
6025,2513641,199,447,136,5113,260,5236,789,0,417.20182572614107,78,23414,60,845.1925672773574,-6646,-4802140,09:34:30.000
33740,28146967,283,1633,979,29355,574,29907,3833,0,834.2313870776526,119,6053,60,1090.2817350226533,27715,25633326,09:35:15.000
25773,10814499,343,1970,1233,20528,935,21219,4554,0,419.6057502037016,84,5814,60,681.3713339267321,-7967,-17332468,09:36:00.000
8633,2759220,295,737,217,7488,537,7745,888,0,319.61311247538515,66,5858,60,609.3439719858262,-17140,-8055279,09:36:45.000
12598,5607935,290,1259,464,9534,581,9892,2706,0,445.1448642641689,75,5814,60,807.9815331133993,3965,2848715,09:37:30.000
17009,16903003,164,320,64,16606,89,16653,356,0,993.7681815509436,112,8814,60,1103.6556292401071,4411,11295068,09:38:15.000
49351,48815181,242,764,362,47675,356,47890,1461,0,989.1426921440295,645,23414,60,1079.3368234916445,0,0,09:39:00.000
128196,181142054,288,1096,549,124070,482,124407,3788,0,1413.0086274142718,1514,23414,60,1666.1598330932775,78845,132326873,09:39:45.000
163720,256406777,249,839,512,160884,334,161160,2560,0,1566.129837527486,1514,11734,60,1827.0363056722833,35524,75264723,09:40:30.000
95774,136557505,254,897,566,93196,446,93508,2266,0,1425.8306534132437,1514,11734,60,1680.1646411223885,0,0,09:41:15.000
35694,28275271,376,1775,1091,31175,871,31791,3903,0,792.1575334790161,88,10274,60,1288.685766658515,-60080,-108282234,09:42:00.000
40669,33146073,317,1479,1285,38021,1333,38707,1962,0,815.0206053751015,90,8814,60,1068.134104565214,4975,4870802,09:42:45.000
52721,47331235,284,1673,1605,49615,1676,50464,2251,0,897.7681569014245,125,10274,60,1098.9752524047813,12052,14185162,09:43:30.000
10538,5044988,249,804,538,9258,761,9589,937,8,478.7424558739799,66,4434,60,808.2540374248503,-42183,-42286247,09:44:15.000
4302,781060,211,477,116,3182,326,3284,1009,8,181.55741515574152,76,8901,60,370.73293073554566,-6236,-4263928,09:45:00.000
46540,49570240,249,882,702,43713,720,44112,2421,0,1065.1104426299958,154,6220,60,1190.9709735992653,42238,48789180,09:45:45.000
137710,174478015,121,370,288,136736,255,136876,834,0,1266.995969791591,1514,5894,60,1236.066357642403,0,0,09:46:30.000
